Channel Number,Channel Name,Channel Type,Rx Frequency,Tx Frequency,Bandwidth (kHz),Colour Code,Timeslot,Contact,TG List,DMR ID,TS1_TA_Tx,TS2_TA_Tx ID,RX Tone,TX Tone,Squelch,Power,Rx Only,Zone Skip,All Skip,TOT,VOX,No Beep,No Eco
1,FRS 1,Analogue,462.5625,462.5625,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
2,FRS 2,Analogue,462.5875,462.5875,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
3,FRS 3,Analogue,462.6125,462.6125,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
4,FRS 4,Analogue,462.6375,462.6375,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
5,FRS 5,Analogue,462.6625,462.6625,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
6,FRS 6,Analogue,462.6875,462.6875,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
7,FRS 7,Analogue,462.7125,462.7125,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
8,FRS 8,Analogue,467.5625,467.5625,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
9,FRS 9,Analogue,467.5875,467.5875,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
10,FRS 10,Analogue,467.6125,467.6125,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
11,FRS 11,Analogue,467.6375,467.6375,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
12,FRS 12,Analogue,467.6625,467.6625,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
13,FRS 13,Analogue,467.6875,467.6875,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
14,FRS 14,Analogue,467.7125,467.7125,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
15,FRS 15,Analogue,462.55,462.55,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
16,FRS 16,Analogue,462.575,462.575,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
17,FRS 17,Analogue,462.6,462.6,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
18,FRS 18,Analogue,462.625,462.625,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
19,FRS 19,Analogue,462.65,462.65,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
20,FRS 20,Analogue,462.675,462.675,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
21,FRS 21,Analogue,462.7,462.7,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
22,FRS 22,Analogue,462.725,462.725,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
23,MURS 4 - Blue,Analogue,154.57,154.57,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
24,MURS 5 - Green,Analogue,154.6,154.6,12.5,,,,,,,,None,None,Disabled,Master,No,No,No,0,Off,No,No
